#,Reference,Qty,Value,Footprint,DNP,Stock,To Buy,# of boards
2,"C1, C4, C5",3,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,7,2,3
3,"C2, C3, C6, C7",4,1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,13,0,
4,CONN1,1,RJ9,RJ9:RJ9_Jack,,3,0,
5,"D1, D2",2,D_TVS,Diode_SMD:D_SMA_Handsoldering,,6,0,
6,D3,1,PWR_LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,14,0,
7,D4,1,STAT_LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,0,
8,"D5, D6",2,D_Schottky,Diode_SMD:D_SOD-323_HandSoldering,,6,0,
9,D7,1,DBG_LED,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,0,0,
11,J1,1,USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_GCT_USB4085,,3,0,
12,J2,1,Micro_SD_Card,Connector_Card:microSD_HC_Molex_47219-2001,,0,3,
13,J3,1,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,X,X,
14,"Q1, Q2",2,BC817,Package_TO_SOT_SMD:SOT-23,,,6,
15,R1,1,120,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,17,0,
16,"R2, R13",2,1M,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,17,0,
17,"R3, R4, R7, R8, R10, R11, R12",7,5.11K,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,26,0,
18,"R5, R6, R9",3,220,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,14,0,
19,U1,1,ESP32-C3-WROOM-02-N4,ESP32-C3-WROOM:ESP32-C3-WROOM-02-N4,,3,0,
20,U2,1,NCP1117-3.3_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,,3,0,
21,U3,1,ADM3493ARZ,RS485_tran:SOIC127P600X175-8N,,3,0,
22,U4,1,FT231XQ,Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,,0,3,
